Iter,GalaPoints,GalaRank,GF_Result,GL_Result,GalaLostFrankfurt,GalaWonFrankfurt
380,13,13,L,L,1,0
381,10,22,W,L,0,1
382,11,17,L,W,1,0
383,10,23,D,D,0,0
384,9,24,D,D,0,0
385,11,18,W,D,0,1
386,9,27,L,D,1,0
387,8,28,D,L,0,0
388,4,35,L,L,1,0
389,3,35,D,L,0,0
390,19,1,W,D,0,1
391,7,28,L,L,1,0
392,15,8,W,W,0,1
393,9,24,W,L,0,1
394,13,13,L,D,1,0
395,9,23,L,L,1,0
396,11,16,L,L,1,0
397,2,36,L,L,1,0
398,8,29,L,D,1,0
399,12,14,L,W,1,0
400,11,16,L,W,1,0
401,6,33,L,L,1,0
402,14,8,W,L,0,1
403,18,3,W,L,0,1
404,16,6,D,L,0,0
405,9,24,L,L,1,0
406,14,9,D,D,0,0
407,14,9,D,L,0,0
408,9,26,D,W,0,0
409,8,23,D,L,0,0
410,8,28,D,L,0,0
411,10,20,L,W,1,0
412,9,25,D,L,0,0
413,7,29,L,L,1,0
414,7,30,L,D,1,0
415,9,26,L,W,1,0
416,9,24,D,L,0,0
417,6,31,L,L,1,0
418,7,32,L,D,1,0
419,11,21,L,D,1,0
420,13,16,D,D,0,0
421,13,13,L,D,1,0
422,9,26,W,L,0,1
423,5,34,L,L,1,0
424,17,4,W,D,0,1
425,8,26,L,D,1,0
426,8,27,L,D,1,0
427,12,14,D,W,0,0
428,12,16,W,L,0,1
429,14,6,D,W,0,0
430,6,34,D,L,0,0
431,8,25,D,L,0,0
432,11,20,W,L,0,1
433,10,22,W,L,0,1
434,6,33,D,D,0,0
435,13,13,W,L,0,1
436,10,22,L,W,1,0
437,5,33,L,D,1,0
438,6,32,L,L,1,0
439,13,13,L,L,1,0
440,10,22,L,W,1,0
441,12,18,D,W,0,0
442,11,17,W,D,0,1
443,13,12,W,D,0,1
444,7,28,L,L,1,0
445,10,21,L,D,1,0
446,7,29,L,L,1,0
447,10,22,L,W,1,0
448,7,31,W,L,0,1
449,11,16,D,D,0,0
450,10,19,W,L,0,1
451,10,21,W,L,0,1
452,11,18,L,D,1,0
453,14,9,D,L,0,0
454,9,25,D,W,0,0
455,13,13,D,W,0,0
456,13,11,D,L,0,0
457,9,28,D,D,0,0
458,11,20,W,W,0,1
459,7,28,L,W,1,0
460,6,32,W,D,0,1
461,11,22,L,W,1,0
462,14,10,L,W,1,0
463,4,33,D,D,0,0
464,8,26,D,L,0,0
465,4,36,L,D,1,0
466,8,29,L,L,1,0
467,10,19,W,L,0,1
468,8,25,L,L,1,0
469,14,9,L,W,1,0
470,4,32,L,L,1,0
471,7,31,W,L,0,1
472,6,31,L,L,1,0
473,10,18,W,L,0,1
474,11,15,L,D,1,0
475,8,26,L,D,1,0
476,11,18,L,L,1,0
477,6,30,L,L,1,0
478,9,26,D,L,0,0
479,14,11,W,D,0,1
480,7,32,L,D,1,0
481,13,13,W,D,0,1
482,20,3,W,W,0,1
483,4,34,D,D,0,0
484,16,6,W,L,0,1
485,14,10,W,D,0,1
486,7,29,L,D,1,0
487,10,21,L,L,1,0
488,11,18,L,W,1,0
489,7,28,L,D,1,0
490,8,30,L,L,1,0
491,16,4,W,W,0,1
492,14,11,W,D,0,1
493,13,12,L,W,1,0
494,7,32,L,L,1,0
495,10,19,L,W,1,0
496,14,10,D,L,0,0
497,11,19,L,L,1,0
498,8,27,D,L,0,0
499,11,14,W,L,0,1
500,7,31,D,D,0,0
501,10,24,D,D,0,0
502,8,28,L,L,1,0
503,10,21,D,L,0,0
504,9,25,D,W,0,0
505,18,5,L,L,1,0
506,10,24,W,L,0,1
507,5,31,W,L,0,1
508,11,16,W,L,0,1
509,3,35,L,D,1,0
510,10,22,L,L,1,0
511,9,25,L,D,1,0
512,6,35,L,L,1,0
513,3,35,W,L,0,1
514,5,33,D,D,0,0
515,8,27,L,D,1,0
516,6,31,L,L,1,0
517,12,16,D,D,0,0
518,3,35,L,L,1,0
519,7,34,D,D,0,0
520,9,25,L,W,1,0
521,11,21,D,W,0,0
522,7,30,L,W,1,0
523,8,25,L,W,1,0
524,8,30,L,W,1,0
525,13,14,W,L,0,1
526,10,18,L,W,1,0
527,13,11,W,L,0,1
528,7,29,D,D,0,0
529,9,27,L,L,1,0
530,15,6,L,W,1,0
531,10,21,L,D,1,0
532,10,25,D,D,0,0
533,14,7,L,L,1,0
534,9,24,L,D,1,0
535,3,35,L,L,1,0
536,13,12,W,L,0,1
537,9,25,W,L,0,1
538,14,8,W,L,0,1
539,10,22,L,D,1,0
540,7,28,L,D,1,0
541,10,20,L,L,1,0
542,13,12,W,D,0,1
543,10,24,L,L,1,0
544,7,30,L,L,1,0
545,13,11,L,D,1,0
546,10,19,W,L,0,1
547,14,8,D,L,0,0
548,6,32,D,L,0,0
549,11,16,L,W,1,0
550,14,9,W,L,0,1
551,7,30,L,L,1,0
552,8,23,L,L,1,0
553,11,18,D,L,0,0
554,17,5,W,L,0,1
555,9,23,L,W,1,0
556,11,17,L,L,1,0
557,12,14,W,L,0,1
558,5,33,L,L,1,0
559,17,5,W,D,0,1
560,13,12,W,D,0,1
561,9,25,L,W,1,0
562,12,16,L,W,1,0
563,6,32,L,L,1,0
564,3,36,L,L,1,0
565,16,4,W,W,0,1
566,13,12,W,W,0,1
567,2,35,D,L,0,0
568,11,16,L,D,1,0
569,5,32,D,L,0,0
570,8,26,L,W,1,0
571,12,13,L,D,1,0
572,15,6,W,D,0,1
573,13,14,W,W,0,1
574,4,34,L,D,1,0
575,8,29,L,L,1,0
576,14,11,W,L,0,1
577,13,13,L,D,1,0
578,10,19,L,L,1,0
579,17,4,W,D,0,1
580,9,26,D,L,0,0
581,15,8,W,L,0,1
582,12,13,W,D,0,1
583,16,5,W,W,0,1
584,8,28,L,L,1,0
585,8,26,W,D,0,1
586,11,16,L,L,1,0
587,16,5,W,W,0,1
588,16,4,W,D,0,1
589,7,29,L,W,1,0
590,6,31,L,D,1,0
591,21,2,W,W,0,1
592,4,35,L,L,1,0
593,5,34,L,L,1,0
594,15,9,D,W,0,0
595,11,21,L,W,1,0
596,5,32,L,L,1,0
597,7,28,L,L,1,0
598,4,34,L,L,1,0
599,12,17,W,D,0,1
600,5,35,D,L,0,0
601,8,29,L,W,1,0
602,8,25,W,L,0,1
603,6,32,L,L,1,0
604,7,30,L,L,1,0
605,5,33,L,L,1,0
606,13,10,W,L,0,1
607,7,30,L,L,1,0
608,3,35,L,L,1,0
609,14,7,D,D,0,0
610,12,14,W,D,0,1
611,7,27,L,L,1,0
612,10,22,D,L,0,0
613,14,7,L,W,1,0
614,6,29,L,L,1,0
615,13,13,W,W,0,1
616,6,31,L,L,1,0
617,12,13,L,W,1,0
618,4,33,L,L,1,0
619,14,8,D,W,0,0
620,11,17,W,L,0,1
621,13,13,W,L,0,1
622,8,28,D,D,0,0
623,8,27,L,L,1,0
624,9,27,L,W,1,0
625,13,11,L,D,1,0
626,8,30,L,D,1,0
627,4,34,D,L,0,0
628,7,29,L,D,1,0
629,5,32,D,L,0,0
630,9,24,L,L,1,0
631,11,18,D,D,0,0
632,7,31,L,D,1,0
633,7,29,D,D,0,0
634,12,16,L,L,1,0
635,20,1,W,W,0,1
636,10,20,W,D,0,1
637,8,30,D,L,0,0
638,10,21,W,D,0,1
639,12,14,L,L,1,0
640,7,29,D,L,0,0
641,10,20,D,W,0,0
642,11,20,L,L,1,0
643,8,27,L,W,1,0
644,11,18,L,L,1,0
645,9,26,L,L,1,0
646,6,33,L,L,1,0
647,13,12,W,L,0,1
648,1,35,L,L,1,0
649,9,26,L,W,1,0
650,9,24,L,W,1,0
651,11,17,W,L,0,1
652,11,17,W,L,0,1
653,13,13,L,L,1,0
654,10,22,L,L,1,0
655,7,28,L,L,1,0
656,9,26,L,L,1,0
657,10,21,L,W,1,0
658,10,24,W,D,0,1
659,6,32,D,L,0,0
660,11,19,W,L,0,1
661,11,19,D,W,0,0
662,12,15,L,L,1,0
663,11,18,D,W,0,0
664,7,30,L,L,1,0
665,10,23,D,L,0,0
666,13,15,W,L,0,1
667,7,30,L,W,1,0
668,14,11,D,L,0,0
669,7,32,L,D,1,0
670,7,29,D,L,0,0
671,9,23,W,L,0,1
672,7,31,L,D,1,0
673,9,26,L,L,1,0
674,8,29,L,L,1,0
675,14,10,D,W,0,0
676,5,34,W,L,0,1
677,4,35,L,L,1,0
678,11,16,D,L,0,0
679,13,9,W,L,0,1
680,10,20,L,W,1,0
681,10,20,L,W,1,0
682,10,22,L,L,1,0
683,11,20,D,L,0,0
684,7,31,D,D,0,0
685,5,35,D,L,0,0
686,13,10,D,W,0,0
687,10,20,L,L,1,0
688,12,15,D,D,0,0
689,10,21,D,L,0,0
690,12,17,W,L,0,1
691,8,26,D,L,0,0
692,12,17,W,L,0,1
693,11,17,L,L,1,0
694,13,13,L,D,1,0
695,12,15,L,W,1,0
696,8,31,D,W,0,0
697,10,20,L,W,1,0
698,14,10,W,L,0,1
699,13,14,D,W,0,0
700,11,18,L,L,1,0
701,10,24,D,D,0,0
702,12,20,D,D,0,0
703,6,31,L,L,1,0
704,12,14,W,D,0,1
705,7,29,L,L,1,0
706,7,29,L,L,1,0
707,12,19,L,D,1,0
708,7,31,D,D,0,0
709,10,20,W,L,0,1
710,11,21,D,D,0,0
711,15,5,W,W,0,1
712,14,11,L,W,1,0
713,11,19,D,D,0,0
714,13,14,L,L,1,0
715,4,32,W,L,0,1
716,15,9,W,L,0,1
717,10,22,W,L,0,1
718,8,26,D,W,0,0
719,15,5,W,W,0,1
720,7,29,L,L,1,0
721,10,24,L,W,1,0
722,8,26,L,L,1,0
723,7,28,L,L,1,0
724,11,19,W,L,0,1
725,9,25,L,D,1,0
726,6,32,L,L,1,0
727,10,25,L,L,1,0
728,4,34,L,L,1,0
729,10,22,L,L,1,0
730,16,6,W,W,0,1
731,6,29,W,L,0,1
732,8,22,L,L,1,0
733,11,18,L,W,1,0
734,12,12,W,W,0,1
735,7,30,L,L,1,0
736,10,23,D,L,0,0
737,14,10,L,W,1,0
738,15,9,D,D,0,0
739,5,33,L,L,1,0
740,4,34,D,W,0,0
741,12,15,W,D,0,1
742,17,4,W,D,0,1
743,10,21,L,W,1,0
744,4,33,L,L,1,0
